sku_id,week,units_sold,seasonal_naive_forecast,baseline_forecast
10002,2009-11-30,140,,
10002,2009-12-07,24,,140.0
10002,2009-12-14,37,,82.0
10002,2009-12-21,14,,67.0
10002,2009-12-28,0,,53.75
10002,2010-01-04,15,,18.75
10002,2010-01-11,191,,16.5
10002,2010-01-18,41,,55.0
10002,2010-01-25,44,,61.75
10002,2010-02-01,16,,72.75
10002,2010-02-08,43,,73.0
10002,2010-02-15,37,,36.0
10002,2010-02-22,161,,35.0
10002,2010-03-01,455,,64.25
10002,2010-03-08,28,,174.0
10002,2010-03-15,25,,170.25
10002,2010-03-22,85,,167.25
10002,2010-03-29,84,,148.25
10002,2010-04-05,747,,55.5
10002,2010-04-12,47,,235.25
10002,2010-04-19,267,,240.75
10002,2010-04-26,35,,286.25
10002,2010-05-03,162,,274.0
10002,2010-05-10,1076,,127.75
10002,2010-05-17,164,,385.0
10002,2010-05-24,63,,359.25
10002,2010-05-31,89,,366.25
10002,2010-06-07,128,,348.0
10002,2010-06-14,205,,111.0
10002,2010-06-21,25,,121.25
10002,2010-06-28,36,,111.75
10002,2010-07-05,129,,98.5
10002,2010-07-12,33,,98.75
10002,2010-07-19,271,,55.75
10002,2010-07-26,69,,117.25
10002,2010-08-02,236,,125.5
10002,2010-08-09,65,,152.25
10002,2010-08-16,2,,160.25
10002,2010-08-23,272,,93.0
10002,2010-08-30,1,,143.75
10002,2010-09-06,44,,85.0
10002,2010-09-13,33,,79.75
10002,2010-09-20,126,,87.5
10002,2010-09-27,449,,51.0
10002,2010-10-04,48,,163.0
10002,2010-10-11,486,,164.0
10002,2010-10-18,47,,277.25
10002,2010-10-25,52,,257.5
10002,2010-11-01,170,,158.25
10002,2010-11-08,4,,188.75
10002,2010-11-15,718,,68.25
10002,2010-11-22,51,,236.0
10002,2010-11-29,91,140.0,140.0
10002,2010-12-06,138,24.0,24.0
10002,2010-12-13,41,37.0,37.0
10002,2010-12-20,2,14.0,14.0
10002,2010-12-27,0,0.0,68.0
10002,2011-01-03,73,15.0,15.0
10002,2011-01-10,42,191.0,191.0
10002,2011-01-17,76,41.0,41.0
10002,2011-01-24,17,44.0,44.0
10002,2011-01-31,133,16.0,16.0
10002,2011-02-07,1,43.0,43.0
10002,2011-02-14,14,37.0,37.0
10002,2011-02-21,36,161.0,161.0
